char1,char2,score,char_set,sub
 , ,1.0,default,2.0
 ,!,0.8,default,-1.0
 ,"""",0.9,default,0.0
 ,#,0.3,default,-1.0
 ,%,0.15,default,-1.0
 ,&,0.15,default,-1.0
 ,',1.0,default,1.0
 ,(,0.35,default,-1.0
 ,),0.35,default,-1.0
 ,*,0.8,default,-1.0
 ,+,0.9,default,0.0
 ,",",1.0,default,1.0
 ,-,1.0,default,1.0
 ,.,1.0,default,1.0
 ,/,0.8,default,-1.0
 ,0,0.25,default,-2.0
 ,1,0.35,default,-2.0
 ,2,0.3,default,-2.0
 ,3,0.3,default,-2.0
 ,4,0.3,default,-2.0
 ,5,0.3,default,-2.0
 ,6,0.25,default,-2.0
 ,7,0.35,default,-2.0
 ,8,0.25,default,-2.0
 ,9,0.25,default,-2.0
 ,:,0.9,default,1.0
 ,;,0.9,default,0.0
 ,=,0.9,default,0.0
 ,?,0.8,default,-1.0
 ,@,0.05,default,-1.0
 ,A,0.25,default,-2.0
 ,B,0.15,default,-2.0
 ,C,0.3,default,-2.0
 ,D,0.15,default,-2.0
 ,E,0.25,default,-2.0
 ,F,0.25,default,-2.0
 ,G,0.25,default,-2.0
 ,H,0.1,default,-2.0
 ,I,0.3,default,-2.0
 ,J,0.3,default,-2.0
 ,K,0.15,default,-2.0
 ,L,0.3,default,-2.0
 ,M,0.0,default,-2.0
 ,N,0.15,default,-2.0
 ,O,0.25,default,-2.0
 ,P,0.2,default,-2.0
 ,Q,0.15,default,-2.0
 ,R,0.15,default,-2.0
 ,S,0.3,default,-2.0
 ,T,0.25,default,-2.0
 ,U,0.25,default,-2.0
 ,V,0.25,default,-2.0
 ,W,0.05,default,-2.0
 ,X,0.2,default,-2.0
 ,Y,0.25,default,-2.0
 ,Z,0.25,default,-2.0
 ,\,0.8,default,-1.0
 ,^,0.8,default,-1.0
 ,_,1.0,default,1.0
 ,`,1.0,default,1.0
 ,a,0.3,default,-2.0
 ,b,0.25,default,-2.0
 ,c,0.35,default,-2.0
 ,d,0.25,default,-2.0
 ,e,0.35,default,-2.0
 ,f,0.35,default,-2.0
 ,g,0.2,default,-2.0
 ,h,0.2,default,-2.0
 ,i,0.8,default,-2.0
 ,j,0.35,default,-2.0
 ,k,0.25,default,-2.0
 ,l,0.35,default,-2.0
 ,m,0.15,default,-2.0
 ,n,0.3,default,-2.0
 ,o,0.3,default,-2.0
 ,p,0.2,default,-2.0
 ,q,0.25,default,-2.0
 ,r,0.35,default,-2.0
 ,s,0.35,default,-2.0
 ,t,0.35,default,-2.0
 ,u,0.25,default,-2.0
 ,v,0.35,default,-2.0
 ,w,0.2,default,-2.0
 ,x,0.3,default,-2.0
 ,y,0.3,default,-2.0
 ,z,0.35,default,-2.0
 ,~,0.9,default,0.0
 ,°,0.9,default,0.0
 ,é,0.3,default,-2.0
 ,—,0.9,default,0.0
 ,‘,1.0,default,1.0
 ,’,1.0,default,1.0
 ,“,0.9,default,0.0
 ,”,0.9,default,0.0
 ,™,0.3,default,-1.0
!,!,1.0,default,2.0
!,"""",0.275,default,-2.0
!,#,0.209876543209877,default,-2.0
!,%,0.146341463414634,default,-2.0
!,&,0.173913043478261,default,-2.0
!,',0.290322580645161,default,-2.0
!,(,0.444444444444444,default,-1.0
!,),0.490566037735849,default,-1.0
!,*,0.339622641509434,default,-2.0
!,+,0.315789473684211,default,-2.0
!,",",0.264705882352941,default,-2.0
!,-,0.0588235294117647,default,-2.0
!,.,0.2,default,-2.0
!,/,0.244897959183673,default,-2.0
!,0,0.275862068965517,default,-2.0
!,1,0.625,default,0.0
!,2,0.2125,default,-2.0
!,3,0.297297297297297,default,-2.0
!,4,0.461538461538462,default,-1.0
!,5,0.215189873417722,default,-2.0
!,6,0.268292682926829,default,-2.0
!,7,0.197183098591549,default,-2.0
!,8,0.225806451612903,default,-2.0
!,9,0.27906976744186,default,-2.0
!,:,0.333333333333333,default,-2.0
!,;,0.3,default,-2.0
!,=,0.0869565217391304,default,-2.0
!,?,0.254237288135593,default,-2.0
!,@,0.141843971631206,default,-2.0
!,A,0.175257731958763,default,-2.0
!,B,0.280373831775701,default,-2.0
!,C,0.295774647887324,default,-2.0
!,D,0.27027027027027,default,-2.0
!,E,0.357142857142857,default,-2.0
!,F,0.4,default,-1.0
!,G,0.223404255319149,default,-2.0
!,H,0.232558139534884,default,-2.0
!,I,0.491803278688525,default,-1.0
!,J,0.416666666666667,default,-1.0
!,K,0.265486725663717,default,-2.0
!,L,0.416666666666667,default,-1.0
!,M,0.206896551724138,default,-2.0
!,N,0.280373831775701,default,-2.0
!,O,0.229166666666667,default,-2.0
!,P,0.333333333333333,default,-2.0
!,Q,0.196428571428571,default,-2.0
!,R,0.275229357798165,default,-2.0
!,S,0.202380952380952,default,-2.0
!,T,0.405405405405405,default,-1.0
!,U,0.313953488372093,default,-2.0
!,V,0.188888888888889,default,-2.0
!,W,0.125,default,-2.0
!,X,0.150943396226415,default,-2.0
!,Y,0.224719101123595,default,-2.0
!,Z,0.148936170212766,default,-2.0
!,\,0.244897959183673,default,-2.0
!,^,0.148148148148148,default,-2.0
!,_,0.0512820512820513,default,-2.0
!,`,0.151515151515152,default,-2.0
!,a,0.306666666666667,default,-2.0
!,b,0.357142857142857,default,-2.0
!,c,0.333333333333333,default,-2.0
!,d,0.365853658536585,default,-2.0
!,e,0.294117647058824,default,-2.0
!,f,0.517857142857143,default,0.0
!,g,0.232323232323232,default,-2.0
!,h,0.32967032967033,default,-2.0
!,i,0.577777777777778,default,0.0
!,j,0.568627450980392,default,0.0
!,k,0.352941176470588,default,-2.0
!,l,0.638297872340426,default,0.0
