label,pattern,replace
habit,acaulescent,acaulescent
habit,acid plant,acid plant
habit,actinomorphic,actinomorphic
habit,arborescent,arborescent
habit,ascending,ascending
habit,assurgent,assurgent
habit,branching,branching
habit,caducous,caducous
habit,caespitose,cespitose
habit,caulescent,caulescent
habit,cespitose,cespitose
habit,climbing,climbing
habit,creeping,creeping
habit,decumbent,decumbent
habit,deflexed,deflexed
habit,determinate growth,determinate growth
habit,dimorphic,dimorphic
habit,ecad,ecad
habit,ecotone,ecotone
habit,ectogenesis,ectogenesis
habit,ectoparasite,ectoparasite
habit,epigeal,epigeal
habit,epigean,epigean
habit,epigeic,epigeic
habit,epigeous,epigeous
habit,epilithic,epilithic
habit,epiphloedal,epiphloedal
habit,epiphloedic,epiphloedic
habit,epiphyllous,epiphyllous
habit,epiphyte,epiphytic
habit,epiphytic,epiphytic
habit,equinoctial,equinoctial
habit,erect,erect
habit,escape,escape
habit,eupotamous,eupotamous
habit,euryhaline,euryhaline
habit,eurythermous,eurythermous
habit,exclusive species,exclusive species
habit,exotic,exotic
habit,exsiccatus,exsiccatus
habit,free-standing,free-standing
habit,frutescent,frutescent
habit,fruticose,fruticose
habit,humifuse,humifuse
habit,indeterminate growth,indeterminate growth
habit,lax,lax
habit,liana,liana
habit,parasitic,parasitic
habit,precocious,precocious
habit,procumbent,procumbent
habit,prostrate,prostrate
habit,repent,repent
habit,semi-erect,semi-erect
habit,shrubby,shrub
habit,subacaulescent,acaulescent
habit,subcaulescent,acaulescent
habit,subshrubby,shrub
habit,suffrutescent,suffrutescent
habit,treelet,treelet
habit,treelets,treelet
habit,upright,upright
habit,vine,vine
habit,vines,vine
habit,virgate,virgate
habit_tree,tree,tree
habit_tree,trees,tree
habit_tree,bush,bush
habit_tree,bushes,bush
