label,pattern,replace,suffix_term
count_suffix,- androus,androus,male_part
count_suffix,- bracteolate,bracteolate,leaf_part
count_suffix,- callose,callose,subpart
count_suffix,- carpellate,carpellate,female_flower_part
count_suffix,- columned,column,part
count_suffix,- flowered,flower,flower_part
count_suffix,- foliolate,lobe,subpart
count_suffix,- horned,horn,subpart
count_suffix,- incised,incised,subpart
count_suffix,- jointed,joint,subpart
count_suffix,- jug,pairs,count_group
count_suffix,- jug.,pairs,count_group
count_suffix,- lobed,lobe,subpart
count_suffix,- locular,locular,subpart
count_suffix,- merous,merous,count
count_suffix,- nate,nate,subpart
count_suffix,- nerved,vein,venation
count_suffix,- paired,pairs,count_group
count_suffix,- pairs,pairs,count_group
count_suffix,- ranked,ranked,subpart
count_suffix,- rayed,ray,subpart
count_suffix,- ribbed,rib,venation
count_suffix,- seeded,seed,fruit_part
count_suffix,- toothed,tooth,leaf_margin
count_suffix,- veined,vein,venation
count_suffix,-androus,androus,male_part
count_suffix,-bracteolate,bracteolate,leaf_part
count_suffix,-callose,callose,subpart
count_suffix,-carpellate,carpellate,female_flower_part
count_suffix,-columned,column,part
count_suffix,-flowered,flower,flower_part
count_suffix,-foliolate,lobe,subpart
count_suffix,-horned,horn,subpart
count_suffix,-incised,incised,subpart
count_suffix,-jointed,joint,subpart
count_suffix,-jug,pairs,count_group
count_suffix,-jug.,pairs,count_group
count_suffix,-lobed,lobe,subpart
count_suffix,-locular,locular,subpart
count_suffix,-merous,merous,count
count_suffix,-nate,nate,subpart
count_suffix,-nerved,vein,venation
count_suffix,-paired,pairs,count_group
count_suffix,-pairs,pairs,count_group
count_suffix,-ranked,ranked,subpart
count_suffix,-rayed,ray,subpart
count_suffix,-ribbed,rib,venation
count_suffix,-seeded,seed,fruit_part
count_suffix,-toothed,tooth,leaf_margin
count_suffix,-veined,vein,venation
count_word,absent,0,
count_word,decamerous,10,
count_word,decamery,10,
count_word,dimerous,2,
count_word,dimery,2,
count_word,double,2,
count_word,heptamerous,7,
count_word,heptamery,7,
count_word,hexamerous,6,
count_word,hexamery,6,
count_word,monomerous,1,
count_word,monomery,1,
count_word,nonamerous,9,
count_word,nonamery,9,
count_word,octamerous,8,
count_word,octamery,8,
count_word,pentamerous,5,
count_word,pentamery,5,
count_word,simple,1,
count_word,single,1,
count_word,tetrad,4,
count_word,tetramerous,4,
count_word,tetramery,4,
count_word,triad,3,
count_word,trimerous,3,
count_word,trimery,3,
count_word,triple,3,
dim,broad,broad,
dim,broader,broad,
dim,d.b.h.,dbh,
dim,dbh,dbh,
dim,dia,diameter,
dim,dia.,diameter,
dim,diam,diameter,
dim,diam.,diameter,
dim,diameter,diameter,
dim,diameter at breast height,dbh,
dim,diameter breast height,dbh,
dim,diameters,diameter,
dim,height,height,
dim,high,height,
dim,in dia,diameter,
dim,in diam,diameter,
dim,in diameter,diameter,
dim,in height,height,
dim,length,length,
dim,long,length,
dim,longo,length,
dim,radius,radius,
dim,tall,height,
dim,thick,thickness,
dim,thickness,thickness,
dim,wide,width,
dim,width,width,
