label,pattern,replace
shape,acicular,polygonal
shape,actinomorphic,radially symmetric
shape,acuminate,acuminate
shape,acute,acute
shape,acutifolius,acutifolius
shape,alate,alate
shape,amentiform,amentiform
shape,amplexicaul,amplexicaul
shape,ampulliform,ampulliform
shape,angular,angular
shape,angular-orbiculate,polygonal
shape,angulate,polygonal
shape,antrorsed,antrorsed
shape,apiculate,apiculate
shape,arched,arched
shape,arcuate,arcuate
shape,aristate,aristate
shape,asymmetrical,asymmetrical
shape,attenuate,attenuate
shape,auricle,auricle
shape,auriculate,auriculate
shape,baculiform,baculiform
shape,biconvex,biconvex
shape,bifid,bifid
shape,bifoliate,bifoliate
shape,bifoliolate,bifoliolate
shape,bifusiform,bifusiform
shape,bigeminate,bigeminate
shape,bilabiate,bilabiate
shape,bilateral,bilaterally symmetric
shape,bilobate,bilobate
shape,bipinnate,bipinnate
shape,bipinnatisect,bipinnatisect
shape,biternate,biternate
shape,bowl-shaped,saucerlike
shape,bowlshaped,saucerlike
shape,branched,branched
shape,broad-based,broad-based
shape,bullate,bullate
shape,c-curved,c-curved
shape,calcarate,calcarate
shape,calceolate,calceolate
shape,campanulate,campanulate
shape,capitate,capitate
shape,capitulate,capitulate
shape,cat's claw,cat's-claw
shape,cat's-claw,cat's-claw
shape,cats-claw,cat's-claw
shape,caudate,caudate
shape,chaffy,chaffy
shape,circular,orbicular
shape,cirrate,cirrate
shape,cirrus,cirrus
shape,clavate,clavate
shape,colliculate,colliculate
shape,compressed-obovoid,compressed-obovoid
shape,compressed-ovoid,compressed-ovoid
shape,concave,concave
shape,conelike,conelike
shape,confluent,
shape,connate-perfoliate,
shape,contracted,contracted
shape,convex,convex
shape,cordate,cordate
shape,cordiform,cordiform
shape,coronate,coronate
shape,craspedial,craspedial
shape,crateriform,saucerlike
shape,cross-venulate,cross-venulate
shape,cruciform,cruciform
shape,cultrate,cultrate
shape,cuneate,cuneate
shape,cup-shaped,cup-shaped
shape,cupshaped,cup-shaped
shape,cupular,cupular
shape,cupulate,cup-shaped
shape,curved,curved
shape,cushion-shaped,cushion-shaped
shape,cuspidate,cuspidate
shape,cyanthiform,cyanthiform
shape,cylindric,cylindric
shape,cylindrical,cylindrical
shape,cymbiform,saucerlike
shape,decurved,decurved
shape,deltate,deltoid
shape,deltate-triangular,deltate-triangular
shape,deltoid,deltoid
shape,depressed-deltate,depressed-deltate
shape,digitate,digitate
shape,dilated,dilated
shape,diplostemonous,diplostemonous
shape,discoid,disk
shape,ellipsoid,ellipsoid
shape,ellipsoidal,ellipsoidal
shape,elliptic,elliptic
shape,elliptic-oblanceolate,elliptic-oblanceolate
shape,elongate,elongate
shape,elongate-ovate,elongate-ovate
shape,emarginate,emarginate
shape,ensate,ensate
shape,ensiform,linear
shape,even-pinnate,even-pinnate
shape,falcate,falcate
shape,fasciculate,fasciculate
shape,fenestrate,fenestrate
shape,filiform,filiform
shape,flabelliorm,flabellate
shape,flagelliform,flagelliform
shape,foliate,foliate
shape,funiform,funiform
shape,funnel-shaped,funnelform
shape,funnelform,funnelform
shape,funnelshaped,funnelform
shape,fused,fused
shape,fusiform,fusiform
shape,galeate,galeate
shape,geminate,geminate
shape,gland-tipped,gland-tipped
shape,glandular-capitate,glandular-capitate
shape,globose,spheric
shape,grooved,grooved
shape,haplostemonous,haplostemonous
shape,hastate,hastate
shape,hemispheric,hemispheric
shape,hippocrepiform,hippocrepiform
shape,imparipinnate,imparipinnate
shape,incised,incised
shape,incurved,incurved
shape,incurved-ascending,incurved-ascending
shape,inequilateral,inequilateral
shape,inert,inert
shape,infundibular,infundibular
shape,irregular,bilaterally symmetric
shape,keeled,keeled
shape,labiate,labiate
shape,labriform,labriform
shape,laciniate,laciniate
shape,laminar,laminar
shape,lance-attenuate,lance-attenuate
shape,lance-elliptic,lance-elliptic
shape,lance-linear,lance-linear
shape,lanceolate,lanceolate
shape,ligulate,ligulate
shape,liguliform,liguliform
shape,linear,linear
shape,linear-attenuate,linear-attenuate
shape,linear-oblong,linear-oblong
shape,longitudinal,longitudinal
shape,lorate,lorate
shape,low-bullate,low-bullate
shape,lyrate,lyrate
shape,monosymmetric,monosymmetric
shape,monosymmetrical,monosymmetrical
shape,moriform,moriform
shape,mounded,mounded
shape,mucronate,mucronate
shape,mucronulate,mucronulate
shape,multicostate,palmate
shape,multifid,multifid
shape,multifoliolate,multifoliolate
shape,navicular,cymbiform
shape,no lobes,0
shape,obconic,obconic
shape,obcordate,obcordate
shape,obese,obese
shape,oblanceolate,oblanceolate
shape,oblique,oblique
shape,oblong,oblong
shape,oblong-elliptic,oblong-elliptic
shape,oblong-terete,oblong
shape,obovate,obovate
shape,obovoid,obovoid
shape,obtriangular,obtriangular
shape,obtusangulate,obtusangulate
shape,obtuse,obtuse
shape,obtuse-apiculate,obtuse-apiculate
shape,octagonal,polygonal
shape,octagonate,polygonal
shape,odd-pinnate,odd-pinnate
shape,orbicular,orbicular
shape,orbicular-ovate,orbicular
shape,orbiculate,orbicular
shape,ovate,ovate
shape,ovate-acuminate,ovate-acuminate
shape,ovate-angulate,ovate-polygonal
shape,ovoid,ovoid
shape,ovoid-ellipsoid,ovoid-ellipsoid
shape,paleaceous,paleaceous
shape,palmatifid,palmatifid
shape,palmatiite,palmatiite
shape,palmatipartite,palmatipartite
shape,palmatisect,palmatisect
shape,pandurate,pandurate
