label,pattern,attr,replace,freq
first_name,Aaronjames,lower,,100
first_name,Abhijay,lower,,100
first_name,Adaja,lower,,100
first_name,Adanely,lower,,100
first_name,Adyen,lower,,100
first_name,Aidenjames,lower,,100
first_name,Akiel,lower,,100
first_name,Alailah,lower,,100
first_name,Aliahna,lower,,100
first_name,Alixandrea,lower,,100
first_name,Amadu,lower,,100
first_name,Angeldejesus,lower,,100
first_name,Anhad,lower,,100
first_name,Anthonny,lower,,100
first_name,Aritha,lower,,100
first_name,Asai,lower,,100
first_name,Aundraya,lower,,100
first_name,Avaiyah,lower,,100
first_name,Aytana,lower,,100
first_name,Azeez,lower,,100
first_name,Bekka,lower,,100
first_name,Bellanie,lower,,100
first_name,Bijon,lower,,100
first_name,Brandyce,lower,,100
first_name,Braxdon,lower,,100
first_name,Caelie,lower,,100
first_name,Calandria,lower,,100
first_name,Claudett,lower,,100
first_name,Clovia,lower,,100
first_name,Cristofher,lower,,100
first_name,Daisja,lower,,100
first_name,Dajsha,lower,,100
first_name,Danicia,lower,,100
first_name,Daquana,lower,,100
first_name,Darric,lower,,100
first_name,Davelle,lower,,100
first_name,Dayyan,lower,,100
first_name,Dejanira,lower,,100
first_name,Denario,lower,,100
first_name,Deyona,lower,,100
first_name,Deyvi,lower,,100
first_name,Domnic,lower,,100
first_name,Driana,lower,,100
first_name,Dulcy,lower,,100
first_name,Eevie,lower,,100
first_name,Eladia,lower,,100
first_name,Emiliya,lower,,100
first_name,Emonii,lower,,100
first_name,Erine,lower,,100
first_name,Evagelia,lower,,100
first_name,Francile,lower,,100
first_name,Granvel,lower,,100
first_name,Heidemarie,lower,,100
first_name,Idara,lower,,100
first_name,Iliyana,lower,,100
first_name,Inetha,lower,,100
first_name,Jacalynn,lower,,100
first_name,Jadda,lower,,100
first_name,Jago,lower,,100
first_name,Jahmarion,lower,,100
first_name,Jahzaria,lower,,100
first_name,Jailynne,lower,,100
first_name,Jamarria,lower,,100
first_name,Jaslynne,lower,,100
first_name,Jazzalynn,lower,,100
first_name,Jeanifer,lower,,100
first_name,Jennesis,lower,,100
first_name,Jerita,lower,,100
first_name,Jessly,lower,,100
first_name,Jrake,lower,,100
first_name,Kaileia,lower,,100
first_name,Kassadie,lower,,100
first_name,Kebrina,lower,,100
first_name,Kelicia,lower,,100
first_name,Kenniel,lower,,100
first_name,Kenyette,lower,,100
first_name,Kieon,lower,,100
first_name,Kissie,lower,,100
first_name,Kurstyn,lower,,100
first_name,Kushi,lower,,100
first_name,Lada,lower,,100
first_name,Lawarence,lower,,100
first_name,Leondro,lower,,100
first_name,Lional,lower,,100
first_name,Lorece,lower,,100
first_name,Madalee,lower,,100
first_name,Mahli,lower,,100
first_name,Mallisa,lower,,100
first_name,Marios,lower,,100
first_name,Maronda,lower,,100
first_name,Math,lower,,100
first_name,Maykel,lower,,100
first_name,Micai,lower,,100
first_name,Mililani,lower,,100
first_name,Milina,lower,,100
first_name,Morio,lower,,100
first_name,Nagi,lower,,100
first_name,Naw,lower,,100
first_name,Nohlan,lower,,100
first_name,Nycere,lower,,100
first_name,Nyrah,lower,,100
first_name,Oaken,lower,,100
first_name,Obaloluwa,lower,,100
first_name,Okechukwu,lower,,100
first_name,Olesya,lower,,100
first_name,Omani,lower,,100
first_name,Osamah,lower,,100
first_name,Parthiv,lower,,100
first_name,Raea,lower,,100
first_name,Razi,lower,,100
first_name,Reylene,lower,,100
first_name,Rickeya,lower,,100
first_name,Roxene,lower,,100
first_name,Samyria,lower,,100
first_name,Sanye,lower,,100
first_name,Sarabelle,lower,,100
first_name,Sashia,lower,,100
first_name,Sathvika,lower,,100
first_name,Savera,lower,,100
first_name,Sheniya,lower,,100
