label,pattern,replace,suffix_term
count_suffix,- androus,androus,male_part
count_suffix,- bracteolate,bracteolate,leaf_part
count_suffix,- callose,callose,subpart
count_suffix,- carpellate,carpellate,female_flower_part
count_suffix,- columned,column,part
count_suffix,- flowered,flower,flower_part
count_suffix,- foliolate,lobe,subpart
count_suffix,- horned,horn,subpart
count_suffix,- incised,incised,subpart
count_suffix,- jointed,joint,subpart
count_suffix,- jug,pairs,count_group
count_suffix,- jug.,pairs,count_group
count_suffix,- lobed,lobe,subpart
count_suffix,- locular,locular,subpart
count_suffix,- merous,merous,count
count_suffix,- nate,nate,subpart
count_suffix,- nerved,vein,venation
count_suffix,- paired,pairs,count_group
count_suffix,- pairs,pairs,count_group
count_suffix,- ranked,ranked,subpart
count_suffix,- rayed,ray,subpart
count_suffix,- ribbed,rib,venation
count_suffix,- seeded,seed,fruit_part
count_suffix,- toothed,tooth,leaf_margin
count_suffix,- veined,vein,venation
count_suffix,-androus,androus,male_part
count_suffix,-bracteolate,bracteolate,leaf_part
count_suffix,-callose,callose,subpart
count_suffix,-carpellate,carpellate,female_flower_part
count_suffix,-columned,column,part
count_suffix,-flowered,flower,flower_part
count_suffix,-foliolate,lobe,subpart
count_suffix,-horned,horn,subpart
count_suffix,-incised,incised,subpart
count_suffix,-jointed,joint,subpart
count_suffix,-jug,pairs,count_group
count_suffix,-jug.,pairs,count_group
count_suffix,-lobed,lobe,subpart
count_suffix,-locular,locular,subpart
count_suffix,-merous,merous,count
count_suffix,-nate,nate,subpart
count_suffix,-nerved,vein,venation
count_suffix,-paired,pairs,count_group
count_suffix,-pairs,pairs,count_group
count_suffix,-ranked,ranked,subpart
count_suffix,-rayed,ray,subpart
count_suffix,-ribbed,rib,venation
count_suffix,-seeded,seed,fruit_part
count_suffix,-toothed,tooth,leaf_margin
count_suffix,-veined,vein,venation
count_word,absent,0,
count_word,decamerous,10,
count_word,decamery,10,
count_word,dimerous,2,
count_word,dimery,2,
count_word,double,2,
count_word,heptamerous,7,
count_word,heptamery,7,
count_word,hexamerous,6,
count_word,hexamery,6,
count_word,monomerous,1,
count_word,monomery,1,
count_word,nonamerous,9,
count_word,nonamery,9,
count_word,octamerous,8,
count_word,octamery,8,
count_word,pentamerous,5,
count_word,pentamery,5,
count_word,simple,1,
count_word,single,1,
count_word,tetrad,4,
count_word,tetramerous,4,
count_word,tetramery,4,
count_word,triad,3,
count_word,trimerous,3,
count_word,trimery,3,
count_word,triple,3,
dim,broad,broad,
dim,broader,broad,
dim,d.b.h.,dbh,
dim,dbh,dbh,
dim,dia,diameter,
dim,dia.,diameter,
dim,diam,diameter,
dim,diam.,diameter,
dim,diameter,diameter,
dim,diameter at breast height,dbh,
dim,diameter breast height,dbh,
dim,diameters,diameter,
dim,height,height,
dim,high,height,
dim,in dia,diameter,
dim,in diam,diameter,
dim,in diameter,diameter,
dim,in height,height,
dim,length,length,
dim,long,length,
dim,longo,length,
dim,radius,radius,
dim,tall,height,
dim,thick,thickness,
dim,thickness,thickness,
dim,wide,width,
dim,width,width,
duration,fugacious,fugacious,
duration,marcescent,marcescent,
duration,persistent,persistent,
duration,subpersistent,subpersistent,
female_flower_part,apocarpus,apocarpus,
female_flower_part,carpellate,carpellate,
female_flower_part,compound pistil,compound pistil,
female_flower_part,funicle,funicle,
female_flower_part,funicles,funicle,
female_flower_part,funiculus,funiculus,
female_flower_part,gynoecia,carpel,
female_flower_part,gynoecium,carpel,
female_flower_part,locule,locule,
female_flower_part,loculus,loculus,
female_flower_part,multicarpellate,multicarpellate,
female_flower_part,ovaries,ovary,
female_flower_part,ovary,ovary,
female_flower_part,ovule,ovary,
female_flower_part,ovules,ovary,
female_flower_part,pistil,pistil,
female_flower_part,pistillode,pistil,
female_flower_part,pistillodes,pistil,
female_flower_part,pistils,carpel,
female_flower_part,placenta,placenta,
female_flower_part,seed-funicle,seed-funicle,
female_flower_part,septa,septum,
female_flower_part,septum,septum,
female_flower_part,stigma,stigma,
female_flower_part,stigmas,stigma,
female_flower_part,unicarpellate,unicarpellate,
flower_location,epigynous,inferior,
flower_location,half-inferior,inferior,
flower_location,hypogynous,superior,
flower_location,inferior,inferior,
flower_location,perigynous,perigynous,
flower_location,superior,superior,
flower_morphology,accrescent,accrescent,
flower_morphology,anthesis,anthesis,
flower_part,acephalous,corona,
flower_part,achlamydeous,achlamydeous,
flower_part,apetalous,apetalous,
flower_part,bract,bract,
flower_part,calyces,calyx,
flower_part,calyx,calyx,
flower_part,carpel,carpel,
flower_part,carpels,carpel,
flower_part,claw,claw,
flower_part,claws,claw,
flower_part,corolla,corolla,
flower_part,corollas,corolla,
flower_part,corona,corona,
flower_part,coronas,coronas,
flower_part,disc,disk,
flower_part,discs,disk,
flower_part,disk,disk,
flower_part,disks,disk,
flower_part,epicalyces,epicalyx,
flower_part,epicalyx,epicalyx,
flower_part,fl,flower,
flower_part,fl-buds,flower-buds,
flower_part,fld,flowered,
flower_part,floral axis,floral axis,
flower_part,floral bracts,bract,
flower_part,floral envelope,floral envelope,
flower_part,floral leaves,leaf,
flower_part,flower,flower,
flower_part,flowering branch,branch,
flower_part,flowering branches,branch,
flower_part,flowering stem,flowering stem,
flower_part,flowering stems,flowering stem,
flower_part,flowers,flower,
flower_part,fls,flower,
flower_part,hypanthia,hypanthium,
